file,name,kind,startLine,endLine,length
packages/analyzer/src/index.ts,"StaticAnalyzer",ClassDeclaration,60,398,339
packages/analyzer/src/index.ts,"StaticAnalyzer.initializeRules",MethodDeclaration,79,320,242
packages/api-gateway/src/index.ts,"ApiGateway",ClassDeclaration,71,419,349
packages/app/src/index.ts,"HttpServer",ClassDeclaration,39,186,148
packages/config/src/index.ts,"ConfigManager",ClassDeclaration,66,171,106
packages/database/src/adapters.ts,"PostgresConnection",ClassDeclaration,10,268,259
packages/database/src/adapters.ts,"RedisCache",ClassDeclaration,271,386,116
packages/database/src/index.ts,"BaseRepository",ClassDeclaration,43,157,115
packages/database/src/index.ts,"MigrationRunner",ClassDeclaration,258,370,113
packages/database/src/repositories/user-adapter.ts,"PostgresUserAdapter",ClassDeclaration,15,164,150
packages/events/src/index.ts,"InMemoryEventStore",ClassDeclaration,39,190,152
packages/observability/src/middleware.ts,"ObservabilityMiddleware",ClassDeclaration,55,418,364
packages/performance/src/index.ts,"MemoryCache",ClassDeclaration,39,214,176
packages/performance/src/index.ts,"PerformanceMonitor",ClassDeclaration,479,581,103
packages/performance/src/index.ts,"ConnectionPool",ClassDeclaration,648,762,115
packages/performance/src/monitoring.ts,"PerformanceMonitoringMiddleware",ClassDeclaration,61,362,302
packages/security/src/index.ts,"AuthenticationService",ClassDeclaration,63,342,280
packages/security/src/index.ts,"AuthorizationService",ClassDeclaration,347,451,105
packages/selfheal-ingest/src/index.ts,"SelfHealIngest",ClassDeclaration,57,355,299
packages/selfheal-llm/src/index.test.ts,"<inline>",ArrowFunction,35,196,162
packages/selfheal-llm/src/llm-client.ts,"OpenAIClient",ClassDeclaration,81,213,133
packages/selfheal-llm/src/patch-validator.ts,"PatchValidator",ClassDeclaration,14,207,194
packages/selfheal-llm/src/selfheal-engine.ts,"SelfHealEngine",ClassDeclaration,32,746,715
packages/selfheal-llm/src/test-synthesizer.ts,"TestSynthesizer",ClassDeclaration,14,219,206
packages/selfheal-worker/src/index.test.ts,"<inline>",ArrowFunction,44,183,140
packages/selfheal-worker/src/index.ts,"SelfHealWorker",ClassDeclaration,64,617,554
services/user-service/src/server.ts,"startServer",FunctionDeclaration,69,424,356
services/user-service/src/user-service.ts,"UserService",ClassDeclaration,85,475,391
